"symbol","date","open","high","low","close","volume","adjusted"
"GILD",2020-09-03,66.809998,67.43,65.480003,65.910004,10457400,65.226585
"GILD",2020-09-04,65.720001,66.940002,65.580002,66.010002,8762200,65.325546
"GILD",2020-09-08,65.120003,65.370003,63.950001,64.139999,10729400,63.47493
"GILD",2020-09-09,64.279999,65.080002,63.610001,64.510002,9309700,63.841099
"GILD",2020-09-10,64.690002,65.040001,63.549999,63.77,8420600,63.108768
"GILD",2020-09-11,64.370003,65.910004,64.220001,65.580002,10213000,64.900002
"GILD",2020-09-14,64.440002,67.919998,64.309998,66.339996,18854200,66.339996
"GILD",2020-09-15,67.040001,67.129997,65.919998,66.199997,8327700,66.199997
"GILD",2020-09-16,66.32,66.550003,65.610001,65.650002,7563600,65.650002
"GILD",2020-09-17,64.82,65.540001,64.400002,65.040001,8498300,65.040001
"GILD",2020-09-18,64.949997,65.169998,64.050003,65.050003,14256900,65.050003
"GILD",2020-09-21,64.809998,64.970001,63.459999,64.209999,8575200,64.209999
"GILD",2020-09-22,64.080002,64.580002,63.290001,63.400002,7228200,63.400002
"GILD",2020-09-23,63.509998,64.080002,63,63.09,8520200,63.09
"GILD",2020-09-24,62.700001,62.84,61.650002,62.25,9004600,62.25
"GILD",2020-09-25,62.099998,62.509998,61.77,62.25,7142800,62.25
"GILD",2020-09-28,62.939999,63.41,62.52,62.849998,7474700,62.849998
"GILD",2020-09-29,62.959999,63.029999,61.950001,62.099998,8657900,62.099998
"GILD",2020-09-30,62.349998,63.43,62.110001,63.189999,10063800,63.189999
"GILD",2020-10-01,63.330002,63.709999,62.709999,63.32,8356500,63.32
"GILD",2020-10-02,63.299999,63.84,62.150002,62.169998,7796600,62.169998
"GILD",2020-10-05,63.709999,64.089996,63.099998,63.599998,10193900,63.599998
"GILD",2020-10-06,63.790001,63.790001,62.349998,62.52,8398100,62.52
"GILD",2020-10-07,62.73,63.169998,62.290001,62.84,6351400,62.84
"GILD",2020-10-08,63.330002,64.050003,63.02,63.32,6434900,63.32
"GILD",2020-10-09,64.610001,64.690002,63.720001,63.84,9364500,63.84
"GILD",2020-10-12,64.07,64.989998,63.549999,64.550003,7750200,64.550003
"GILD",2020-10-13,64.550003,64.989998,64,64.489998,6450200,64.489998
"GILD",2020-10-14,64.410004,64.589996,63.439999,64.050003,7143700,64.050003
"GILD",2020-10-15,63.48,63.549999,62.650002,62.959999,9630700,62.959999
"GILD",2020-10-16,62.400002,62.860001,61.830002,62,12307200,62
"GILD",2020-10-19,62,62.099998,60.209999,60.57,9643600,60.57
"GILD",2020-10-20,60.59,60.900002,59.860001,60.549999,9208000,60.549999
"GILD",2020-10-21,60.240002,60.5,59.900002,60.209999,7493700,60.209999
"GILD",2020-10-22,59.919998,60.900002,59.650002,60.669998,17061800,60.669998
"GILD",2020-10-23,63.380001,63.639999,60.759998,60.790001,30965400,60.790001
"GILD",2020-10-26,60.360001,60.689999,59.400002,59.959999,10256300,59.959999
"GILD",2020-10-27,59.810001,60.209999,59.439999,60.009998,7699900,60.009998
"GILD",2020-10-28,59.310001,59.57,58.060001,58.720001,12150800,58.720001
"GILD",2020-10-29,57.799999,58.889999,57.040001,58.529999,12529400,58.529999
"GILD",2020-10-30,57.790001,58.580002,57.18,58.150002,11869100,58.150002
"GILD",2020-11-02,58.779999,59.150002,57.830002,58.529999,9352600,58.529999
"GILD",2020-11-03,58.82,59.389999,58.400002,58.830002,6599700,58.830002
"GILD",2020-11-04,59.389999,61.189999,59.369999,59.869999,12935200,59.869999
"GILD",2020-11-05,60.34,60.470001,59.200001,59.630001,7519800,59.630001
"GILD",2020-11-06,59.419998,59.5,58.720001,59.07,7209800,59.07
"GILD",2020-11-09,59.400002,60.369999,58.990002,59.049999,10807100,59.049999
"GILD",2020-11-10,58.439999,61.450001,58.18,60.619999,10524400,60.619999
"GILD",2020-11-11,60.93,61.119999,59.560001,60.099998,7336400,60.099998
"GILD",2020-11-12,59.900002,59.990002,58.919998,59.98,9226200,59.98
"GILD",2020-11-13,59.959999,60.98,59.77,60.59,6740800,60.59
"GILD",2020-11-16,60.259998,61.299999,60.25,61.09,6969300,61.09
"GILD",2020-11-17,60.799999,61.049999,60.369999,60.970001,5488400,60.970001
"GILD",2020-11-18,61.040001,61.639999,60.560001,60.900002,8884200,60.900002
"GILD",2020-11-19,60.5,60.959999,59.900002,60.630001,7525100,60.630001
"GILD",2020-11-20,59.599998,60.259998,59.48,60.110001,9440800,60.110001
"GILD",2020-11-23,60.07,60.290001,59.369999,59.889999,8684000,59.889999
